Airline,avg_price,std_price,avg_duration,avg_stops,Cluster
AEROITALIA SRL,214.0544720914593,44.033914096827765,9.001862811028918,0.683927370544721,0
AJet,346.3404710920771,56.897861675962055,21.99310492505353,0.6809421841541756,3
Aegean,321.5,54.7780061333665,18.29390350877193,0.7763157894736842,3
Aer Lingus,271.72727272727275,112.22663757690587,5.422727272727273,0.36363636363636365,0
Aeroitalia,200.1656804733728,34.76634258969386,6.006686390532544,1.1538461538461537,1
Air Albania,220.88095238095238,30.272906973593127,25.92,0.8333333333333334,3
Air Algerie,247.7984496124031,45.75108944142772,19.22325581395349,0.4728682170542636,3
Air Baltic,345.6666666666667,29.2631736715848,12.92,2.0,1
Air Dolomiti,325.887537993921,51.23295169258533,9.693145896656535,0.6474164133738601,0
Air Europa,318.5637480798771,57.95810296378799,15.851044546851,0.7772657450076805,3
Air France,236.46448688006595,65.76820593443445,6.4982860283005905,0.6099738975133947,0
Air Serbia,287.60655737704917,53.803431950178485,13.078688524590163,0.7049180327868853,3
Animawings,301.75757575757575,59.10373840916827,16.440606060606058,0.9393939393939394,3
Aurigny Air,449.5,14.821156050277143,3.75,1.0,1
Austrian,291.5768540669856,52.150115382438685,9.252404306220097,0.7027511961722488,0
Austrian Airlines,301.25396825396825,52.82746360955003,5.467936507936508,1.3015873015873016,1
BlaBlaBus,68.47619047619048,22.91204715344975,2.282857142857143,0.47619047619047616,2
British Airways,235.64231578947368,65.44654019413589,2.258658947368421,0.496280701754386,0
Brussels Airlines,279.75702383259056,51.80756601961872,10.507054834334433,0.7266033714396435,0
Dan Air,222.28571428571428,27.554275443896096,14.17,0.2857142857142857,3
Eurostar,201.55506607929516,54.372854923572504,2.4455066079295156,0.5418502202643172,0
Eurowings,319.23731343283583,60.98860766421381,9.897597014925374,0.7626865671641792,0
FLYONE,241.1290322580645,56.941279022006434,22.978924731182794,0.7096774193548387,3
Finnair,377.6666666666667,58.59465277082315,18.36,0.3333333333333333,3
FlixBus,57.92920353982301,15.695557369542811,1.389070796460177,0.504424778761062,2
ITA,270.2581336763681,49.7580379878014,10.468822693895053,0.6903575065659002,0
ITA Airways,286.8129238133227,99.18444466720135,3.2259074591144796,0.704826485839649,0
Iberia,310.2000917852226,63.987655059328226,9.041652134006425,0.6608536025699863,0
Iberia Express,292.90909090909093,60.369619090159155,6.843636363636364,0.36363636363636365,0
Jet2,267.0810533515732,74.86746366812768,13.796997264021888,0.6511627906976745,0
KLM,274.2608786501593,67.85574023018896,8.419581047902629,0.7123752807814867,0
KM Malta Airlines,289.9989090909091,31.05970615135526,17.308090909090907,0.6741818181818182,3
LOT,327.5,49.632348891596635,12.865674157303372,0.6685393258426966,3
Lufthansa,282.4777591559744,59.73010910575114,8.018913646729127,0.8213314284144297,0
Lufthansa City Airlines,268.2845528455285,58.04132506384796,5.377235772357723,0.5040650406504065,0
Luxair,432.1694915254237,54.06801353543543,5.658644067796611,1.1864406779661016,1
Norwegian,302.82774049217,53.32624211946981,15.478724832214764,0.6610738255033557,3
PLAY,328.4551724137931,48.375983956450824,10.32848275862069,0.6758620689655173,3
Pegasus,331.8011811023622,51.10269120028722,33.556653543307085,0.8838582677165354,3
Ryanair,158.29622775800712,64.08454265283756,2.8077046263345196,0.5690391459074733,0
SKY express,306.9019607843137,55.70478632769575,16.088169934640522,0.7516339869281046,3
SNCF,252.6551724137931,29.131813564835852,4.074137931034483,0.8620689655172413,1
SWISS,294.54099557199163,61.96944039706653,7.338230743029537,0.8153861125979271,0
Scandinavian Airlines,292.9353015075377,60.572360828404065,8.61071608040201,0.7713567839195979,0
Smartwings,295.2432432432432,55.409789250138346,4.53945945945946,0.7567567567567568,0
SunExpress,292.42857142857144,28.96075404276058,20.858571428571427,0.5,3
TAROM,284.47727272727275,48.38820182761432,12.035454545454547,1.0454545454545454,1
Tap Air Portugal,253.71794871794873,29.777290048836207,6.744529914529915,0.5384615384615384,0
Transavia,224.99626744563454,70.21918164497279,7.090475494969167,0.6220382992534891,0
Transavia France,188.7152709359606,46.561611013840206,2.145776683087028,0.4857142857142857,0
Tunisair,295.3333333333333,49.67435622800427,5.777272727272727,1.0303030303030303,1
Turkish Airlines,387.6963788300836,33.96858172443,21.887360724233982,0.6016713091922006,3
Union Ivkoni,56.0,10.042016991777992,1.21,0.4,2
Volotea,220.61084905660377,66.50168930992723,7.083042452830189,0.7122641509433962,0
Vueling,209.56438826927536,78.83739252453354,8.930807383356877,0.6497543800468049,0
Wizz Air,205.36713500305436,68.04024719133741,12.13649386349753,0.7119175876048204,0
easyJet,198.9208754716981,84.54294053015632,7.351712905660377,0.631033962264151,0
